NCTId,Sponsor,Locations
NCT01495533,"University Hospital, Saarland","Danta Pazzanese Heart Institute, São Paulo, Brazil"
NCT02893852,Federal University of Minas Gerais,"Federal University of Minas Gerais, Belo Horizonte, Brazil"
NCT00325676,Takeda,"Altana Pharma/Nycomed, Belo Horizonte-MG, Brazil; Altana Pharma/Nycomed, Blumenau - SC, Brazil; Altana Pharma/Nycomed, Botucatu - SP, Brazil; Altana Pharma/Nycomed, Campinas - Sao Paulo, Brazil; Altana Pharma/Nycomed, Campinas - SP, Brazil; Altana Pharma/Nycomed, Curitiba - PR, Brazil; Altana Pharma/Nycomed, Ilha Do Fundao - Rio de Janeiro - RJ, Brazil; Altana Pharma/Nycomed, Pinheiros Sao Paulo - SP, Brazil; Altana Pharma/Nycomed, Porto Alegre - RS, Brazil; Altana Pharma/Nycomed, Porto Alegre-RS, Brazil; Altana Pharma/Nycomed, Porto Alegre-RS, Brazil; Altana Pharma/Nycomed, Ribeirao Preto-SP, Brazil; Altana Pharma/Nycomed, Salvador-BA, Brazil; Altana Pharma/Nycomed, São Paulo, Brazil"
NCT05864417,Johnson & Johnson Consumer Inc. (J&JCI),"Allergisa Pesquisa Dermato-Cosmética Ltda, Campinas, Brazil"
NCT03190850,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT05033145,HRH Pharmaceuticals Limited,"Hospital Moacyr Gomes de Azevedo, Cambuci, Brazil; Clinical Research Unit / High Complexity Center (CRU/HCC) / Galzu Institute, Campos dos Goytacazes, Brazil; Hospital Santa Casa de Misericórdia de Campos, Campos dos Goytacazes, Brazil; Unidade de Pesquisa Clínica / Centro de Alta Complexidade, Campos dos Goytacazes, Brazil; Unidade Pré Hospitalar São José, Campos dos Goytacazes, Brazil; Hospital de Itaocara, Itaocara, Brazil; Hospital Armando Vidal, São Fidelis, Brazil"
NCT04161495,"Bioverativ, a Sanofi company","Investigational Site Number 181, Campinas, Brazil"
NCT02123667,Chiesi Farmaceutici S.p.A.,"Prof. Dr. Emilio Pizzichini, Florianópolis, Brazil; Prof. Dr. Alberto Cukier, São Paulo, Brazil; Prof. Dr. Rafael Stelmach, São Paulo, Brazil"
NCT01410292,Hospital de Clinicas de Porto Alegre,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT05387811,Azienda Ospedaliera di Padova,"Hospital Federal de Bonsoccesso, Rio de Janeiro, Brazil"
NCT01137071,Recepta Biopharma,"Núcleo de Oncologia da Bahia, Salvador, Brazil; Cetus Hospital-Dia Oncologia Ltda - Filial Belo Horizonte, Belo Horizonte, Brazil; Hospital Erasto Gaertner, Curitiba, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Hospital de Câncer de Barretos, Barretos, Brazil; Fundação Amaral Carvalho, Jaú, Brazil; Instituto do Câncer do Estado de São Paulo ""Octávio Frias de Oliveira"", São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT02592434,Pfizer,"SER - Servicos Especializados em Reumatologia, Salvador, Brazil; Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil; Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil; CMIP -Centro Mineiro de Pesquisa Ltda / Reumatocenter, Juiz de Fora, Brazil; Hospital Pequeno Principe / A ssociacao Hospitalar de Protecao a Infancia, Curitiba, Brazil; Instituto de Pesquisa Pele Pequeno Principe, Curitiba, Brazil; Instituto de Puericultura e Pediatria Martagao Gesteira, Rio de Janeiro, Brazil; Faculdade de Medicina da UNESP, Botucatu, Brazil; SPDM- Associacao Paulista para o Desenvolvimento da Medicina-Hospital Sao Paulo, São Paulo, Brazil; Instituto da Crianca do Hospital das Clinicas da FMUSP, São Paulo, Brazil"
