CNES,NOMEFANT
00814924000121,GP METROPOLITAN GROUP LTDA
15126437004300,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH
23086176000294,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176000375,SECRETARIA DE ESTADO DA SAUDE
23086176000456,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176000707,SECRETARIA DE ESTADO DA SAUDE
23086176000880,SECRETARIA DE ESTADO DA SAUDE
23086176000960,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001002,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001185,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001266,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001347,SECRETARIA DE ESTADO DA SAUDE
23086176001428,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001509,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
23086176001932,SECRETARIA DE ESTADO DA SAUDE
23086176002823,SECRETARIA DE ESTADO DA SAUDE DO AMAPA
34925206000225,PREFEITURA MUNICIPAL DE PORTO GRANDE
60975737000909,SOCIEDADE BENEFICENTE SAO CAMILO
00524237000171,VENDRAMIN GUIMARAES LTDA
00541891000193,FUNDACAO HOSPITALAR DE COSTA RICA
00860841000179,CLINICA DE CAMPO GRANDE S A
01201051000144,ASSOCIACAO BENEFICENTE HOSPITAL DARCI JOAO BIGATON
01923465000187,ASSOCIACAO BENEF DR JULIO PAULINO MAIA
01951177000136,SOCIEDADE INTEGRADA DE ASSISTENCIA SOCIAL
02037950000116,IRMANDADE SANTA CASA DE MISERICORDIA DE CASSILANDIA
02251214000166,FUNDACAO EDUCACIONAL E DE SAUDE DE SONORA
03030285000100,SOCIEDADE BENEFICENTE DONA ELMIRIA SILVERIO BARBOSA
03038445000159,ASSOCIACAO AQUIDAUANENSE DE ASSISTENCIA HOSPITALAR
03070653000135,VALMIR PEDROSO
03073525000145,ASSOC DE PROT ASSIST A MAT E A INFANCIA DE NIOAQUE
03076452000145,ASSOCIACAO BENEFICENTE DE RIO BRILHANTE
03121241000268,PRONCOR UNIDADE INTENSIVA CARDIORESPIRATORIA S S
03149572000125,WW LTDA CASA DE SAUDE DE RIO VERDE
03151578000137,HOSPITAL SANTA RITA LTDA
03153806000108,HOSPITAL BENEFICENTE SAO MATEUS
03153947000120,MATERNIDADE DA MAE POBRE NOSSA SENHORA DA GLORIA
03163888000171,SANTA CASA DE MISERICORDIA DE PARANAIBA
03163912000172,HOSPITAL PSIQUIATRICO DR ADOLFO BEZERRA DE MENEZES
03168879000173,BENEFICENCIA HOSPITALAR DE BELA VISTA
03202777000127,HOSPITAL MARECHAL RONDON
03211935000105,SOCIEDADE HOSPITALAR SAO LUCAS
03221702000193,FUNDACAO CARMEM PRUDENTE DE MATO GROSSO DO SUL
03222916000184,SOCIEDADE DE P A MAT E A I DE CAMAPUA
03267101000464,CENTRO ESPIRITA DISCIPULOS DE JESUS
03272689000100,ASSOCIACAO DE AMPARO A MATERNIDADE E A INFANCIA
03273885000190,ASSOC DE AUX E RECUP DOS HANSENIANOS
03276524000106,ASSOCIACAO BENEFICENTE SANTA CASA DE CAMPO GRANDE
03343654000106,SOCIEDADE BENEFICENTE DE MIRANDA
03370822000152,ASSOC DE PROTECAO E ASSIST AS MAES E C JATAIENSES
03381498000178,ASSOCIACAO BENEFICENTE DE CORUMBA
03479706000176,HOSPITAL E MATERNIDADE SANTA ANA LTDA
03570892000154,HOSPITAL SANTA MARIA LTDA
03571213000161,HOSPITAL E MATERNIDADE DE SANTA MARTA LTDA
03583788000102,HOSPITAL DE CLINICAS SAO LUCAS SC LTDA
03604782000166,ASSOCIACAO BENEFICENTE DOURADENSE
03620291000109,HOSPITAL NAZARENO LTDA
03667482000126,SOCIEDADE BENEFICENTE DE PORTO MURTINHO
03747268000180,MISSAO EVANGELICA CAIUA
03873593000199,SOCIEDADE BENEFICENTE DO HOSPITAL NOSSA SENHORA AUXILIADORA
03888591000173,SOCIEDADE AMIGOS AMAMBAI
03891850000115,HOSPITAL E MATERNIDADE SETE QUEDAS LTDA
03905023000133,HOSPITAL E MATERNIDADE BOM JESUS SC
03923737000174,IRMANDADE DA S C DE M BATAGUASSU
04311093000398,CAIXA DE ASSIST DOS SERVIDORES DO ESTADO MS
04311093000479,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MS
04311093001440,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO
05246563000188,ASSOCIACAO BENEF RURALISTA DE ASS MEDICA HOSP DE ANASTACIO
05301040000197,FUNDACAO DE SAUDE PUBLICA DO MUNICIPIO SAO GABRIEL DO OESTE
05453210000159,ASSOCIACAO BENEFICENTE DE RIO NEGRO
05497378000166,ASSOCIACAO BENEFICENTE DE NOVO HORIZONTE DO SUL
05676386000170,ASSOCIACAO LAGUNENSE DE SAUDE
06008109000151,FUNDACAO MUNDE SAUDE E ADMHOSPITALAR DOURADOS MS
07021665000120,HOSPITAL GERAL EL KADRI LTDA
07775847000278,FUNDACAO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS
07905940000179,INSTITUTO SAGRADO CORACAO DE JESUS
08544385000160,IASE INSTITUTO DE ASSISTENCIA SOCIAL E SAUDE DE ELDORADO
10309197000107,PAULO ARIAN CONCIANI LTDA
11285282000137,FUNDACAO ESTATAL DE SAUDE DO PANTANAL
12600146000157,FUNDACAO SERVICOS DE SAUDE DE NOVA ANDRADINA
15126437000909,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH
15126437001891,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH
15461510000214,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL
15472756000100,ALVES E GUILHERME LTDA
15487770000188,ASSOCIACAO BENEFICENTE DE ANGELICA
15505738000188,CLINICA SAO CAMILO
15578834000156,ASSOCIACAO BENEFICENTE DE ITAQUIRAI
15906258000129,ASSOC BENIFICENTE RURALISTA ASSIST MED HOSPITALAR DE MS
16046245000190,SOCIEDADE BENEFICENTE DECOXIM
19917940000178,FUNDACAO ESTATAL DE SAUDE DE APARECIDA DO TABOADO FESAT
23857891000100,FUNDACAO HOSPITALAR DE ELDORADO MS
24644494000105,ASSOCIACAO BENEFICENTE DE MARACAJU
24823958000221,INSTITUICAO ADVENTISTA CENTRO OESTE DE PROMOCAO A SAUDE
24823958000302,INSTITUICAO ADVENTISTA CENTRO OESTE DE PROMOCAO A SAUDE
26860593000150,HOSPITAL SAO JUDAS TADEU LTDA
33754300000115,ASSOCIACAO BENEFICENTE RITA ANTONIA MACIEL GODOY
37212719000104,PREFEITURA MUNICIPAL DE NOVA ALVORADA DO SUL
37541729000185,IRMANDADE DA SANTA CASA DE MISERICORDIA DE AP DO TABOADO
37541729000185,IRMANDADE DA SANTA CASA DE MISERICORDIA DE AP DO TABOADO
40995874000140,SOCIEDADE BENEFICENTE SAO JUDAS TADEU
60833910001230,INSTITUICAO ADVENT CENTRAL BRAS DE EDUC E ASS SOCIAL
60967551002790,INSTITUTO PRESBITERIANO MACKENZIE
70524178000117,SOCIEDADE BENEF HOSP DR BEZERRA DE MENEZES
0181277,HOSPITAL REGIONAL HILDA STRENGER RIBEIRO
0196398,HOSPITAL MUNICIPAL ENCAMPADO CLINICA DA CRIANCA
