codigo_6d,codigo_ibge,nome,latitude,longitude,estado
520005,5200050,Abadia de Goiás,-16.7573,-49.4412,GO
310010,3100104,Abadia dos Dourados,-18.4831,-47.3916,MG
520010,5200100,Abadiânia,-16197,-48.7057,GO
310020,3100203,Abaeté,-19.1551,-45.4444,MG
150010,1500107,Abaetetuba,-1.72183,-48.8788,PA
230010,2300101,Abaiara,-7.34588,-39.0416,CE
290010,2900108,Abaíra,-13.2488,-41.6619,BA
290020,2900207,Abaré,-8.72073,-39.1162,BA
410010,4100103,Abatiá,-23.3049,-50.3133,PR
420005,4200051,Abdon Batista,-27.6126,-51.0233,SC
150013,1500131,Abel Figueiredo,-4.95333,-48.3933,PA
420010,4200101,Abelardo Luz,-26.5716,-52.3229,SC
310030,3100302,Abre Campo,-20.2996,-42.4743,MG
260005,2600054,Abreu e Lima,-7.90072,-34.8984,PE
170025,1700251,Abreulândia,-9.62101,-49.1518,TO
310040,3100401,Acaiaca,-20359,-43.1439,MG
210005,2100055,Açailândia,-4.94714,-47.5004,MA
290030,2900306,Acajutiba,-11.6575,-38.0197,BA
150020,1500206,Acará,-1.95383,-48.1985,PA
230015,2300150,Acarape,-4.22083,-38.7055,CE
230020,2300200,Acaraú,-2.88769,-40.1183,CE
240010,2400109,Acari,-6.4282,-36.6347,RN
220005,2200053,Acauã,-8.21954,-41.0831,PI
430003,4300034,Aceguá,-31.8665,-54.1615,RS
230030,2300309,Acopiara,-6.08911,-39448,CE
510010,5100102,Acorizal,-15194,-56.3632,MT
120001,1200013,Acrelândia,-9.82581,-66.8972,AC
520013,5200134,Acreúna,-17396,-50.3749,GO
240020,2400208,Açu,-5.58362,-36914,RN
310050,3100500,Açucena,-19.0671,-42.5419,MG
350010,3500105,Adamantina,-21682,-51.0737,SP
520015,5200159,Adelândia,-16.4127,-50.1657,GO
350020,3500204,Adolfo,-21.2325,-49.6451,SP
410020,4100202,Adrianópolis,-24.6606,-48.9922,PR
290035,2900355,Adustina,-10.5437,-38.1113,BA
260010,2600104,Afogados da Ingazeira,-7.74312,-37631,PE
240030,2400307,Afonso Bezerra,-5.49229,-36.5075,RN
320010,3200102,Afonso Cláudio,-20.0778,-41.1261,ES
210010,2100105,Afonso Cunha,-4.13631,-43.3275,MA
260020,2600203,Afrânio,-8.51136,-41.0095,PE
150030,1500305,Afuá,-0.154874,-50.3861,PA
260030,2600302,Agrestina,-8.45966,-35.9447,PE
220010,2200103,Agricolândia,-5.79676,-42.6664,PI
420020,4200200,Agrolândia,-27.4087,-49822,SC
420030,4200309,Agronômica,-27.2662,-49708,SC
150034,1500347,Água Azul do Norte,-6.79053,-50.4791,PA
310060,3100609,Água Boa,-17.9914,-42.3806,MG
510020,5100201,Água Boa,-14051,-52.1601,MT
220020,2200202,Água Branca,-5.88856,-42637,PI
250010,2500106,Água Branca,-7.51144,-37.6357,PB
270010,2700102,Água Branca,-9262,-37938,AL
500020,5000203,Água Clara,-20.4452,-52879,MS
310070,3100708,Água Comprida,-20.0576,-48.1069,MG
420040,4200408,Água Doce,-26.9985,-51.5528,SC
210015,2100154,Água Doce do Maranhão,-2.84048,-42.1189,MA
320016,3200169,Água Doce do Norte,-18.5482,-40.9854,ES
290040,2900405,Água Fria,-11.8618,-38.7639,BA
520017,5200175,Água Fria de Goiás,-14.9778,-47.7823,GO
520020,5200209,Água Limpa,-18.0771,-48.7603,GO
240040,2400406,Água Nova,-6.20351,-38.2941,RN
260040,2600401,Água Preta,-8.70609,-35.5263,PE
430005,4300059,Água Santa,-28.1672,-52031,RS
350030,3500303,Aguaí,-22.0572,-46.9735,SP
310080,3100807,Aguanil,-20.9439,-45.3915,MG
260050,2600500,Águas Belas,-9.11125,-37.1226,PE
350040,3500402,Águas da Prata,-21.9319,-46.7176,SP
420050,4200507,Águas de Chapecó,-27.0754,-52.9808,SC
350050,3500501,Águas de Lindóia,-22.4733,-46.6314,SP
350055,3500550,Águas de Santa Bárbara,-22.8812,-49.2421,SP
350060,3500600,Águas de São Pedro,-22.5977,-47.8734,SP
310090,3100906,Águas Formosas,-17.0802,-40.9384,MG
420055,4200556,Águas Frias,-26.8794,-52.8568,SC
520025,5200258,Águas Lindas de Goiás,-15.7617,-48.2816,GO
420060,4200606,Águas Mornas,-27.6963,-48.8243,SC
310100,3101003,Águas Vermelhas,-15.7431,-41.4571,MG
430010,4300109,Agudo,-29.6447,-53.2515,RS
350070,3500709,Agudos,-22.4694,-48.9863,SP
410030,4100301,Agudos do Sul,-25.9899,-49.3343,PR
320013,3200136,Águia Branca,-18.9846,-40.7437,ES
250020,2500205,Aguiar,-7.0918,-38.1681,PB
170030,1700301,Aguiarnópolis,-6.55409,-47.4702,TO
310110,3101102,Aimorés,-19.5007,-41.0746,MG
290060,2900603,Aiquara,-14.1269,-39.8937,BA
230040,2300408,Aiuaba,-6.57122,-40.1178,CE
310120,3101201,Aiuruoca,-21.9736,-44.6042,MG
430020,4300208,Ajuricaba,-28.2342,-53.7757,RS
310130,3101300,Alagoa,-22171,-44.6413,MG
