NCTId;Sponsor;Place;City/state
NCT01495533;University Hospital, Saarland;Danta Pazzanese Heart Institute;São Paulo
NCT02893852;Federal University of Minas Gerais;Federal University of Minas Gerais;Belo Horizonte
NCT00325676;Takeda;Altana Pharma/Nycomed;Belo Horizonte-MG
NCT00325676;Takeda;Altana Pharma/Nycomed;Blumenau - SC
NCT00325676;Takeda;Altana Pharma/Nycomed;Botucatu - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Campinas - Sao Paulo
NCT00325676;Takeda;Altana Pharma/Nycomed;Campinas - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Curitiba - PR
NCT00325676;Takeda;Altana Pharma/Nycomed;Ilha Do Fundao - Rio de Janeiro - RJ
NCT00325676;Takeda;Altana Pharma/Nycomed;Pinheiros Sao Paulo - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre - RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre-RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre-RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Ribeirao Preto-SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Salvador-BA
NCT00325676;Takeda;Altana Pharma/Nycomed;São Paulo
NCT05864417;Johnson & Johnson Consumer Inc. (J&JCI);Allergisa Pesquisa Dermato-Cosmética Ltda;Campinas
NCT03190850;Hospital de Clinicas de Porto Alegre;Hospital de Clinicas de Porto Alegre;Porto Alegre
NCT05033145;HRH Pharmaceuticals Limited;Hospital Moacyr Gomes de Azevedo;Cambuci
NCT05033145;HRH Pharmaceuticals Limited;Clinical Research Unit / High Complexity Center (CRU/HCC) / Galzu Institute;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Hospital Santa Casa de Misericórdia de Campos;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Unidade de Pesquisa Clínica / Centro de Alta Complexidade;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Unidade Pré Hospitalar São José;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Hospital de Itaocara;Itaocara
NCT05033145;HRH Pharmaceuticals Limited;Hospital Armando Vidal;São Fidelis
NCT04161495;Bioverativ, a Sanofi company;Investigational Site Number 181;Campinas
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Emilio Pizzichini;Florianópolis
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Alberto Cukier;São Paulo
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Rafael Stelmach;São Paulo
NCT01410292;Hospital de Clinicas de Porto Alegre;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT05387811;Azienda Ospedaliera di Padova;Hospital Federal de Bonsoccesso;Rio de Janeiro
NCT01137071;Recepta Biopharma;Núcleo de Oncologia da Bahia;Salvador
NCT01137071;Recepta Biopharma;Cetus Hospital-Dia Oncologia Ltda - Filial Belo Horizonte;Belo Horizonte
NCT01137071;Recepta Biopharma;Hospital Erasto Gaertner;Curitiba
NCT01137071;Recepta Biopharma;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT01137071;Recepta Biopharma;Hospital de Câncer de Barretos;Barretos
NCT01137071;Recepta Biopharma;Fundação Amaral Carvalho;Jaú
NCT01137071;Recepta Biopharma;"Instituto do Câncer do Estado de São Paulo ""Octávio Frias de Oliveira""";São Paulo
NCT01137071;Recepta Biopharma;Hospital Israelita Albert Einstein;São Paulo
NCT02592434;Pfizer;SER - Servicos Especializados em Reumatologia;Salvador
NCT02592434;Pfizer;Santa Casa de Misericordia de Belo Horizonte;Belo Horizonte
NCT02592434;Pfizer;Santa Casa de Misericordia de Belo Horizonte;Belo Horizonte
NCT02592434;Pfizer;CMIP -Centro Mineiro de Pesquisa Ltda / Reumatocenter;Juiz de Fora
NCT02592434;Pfizer;Hospital Pequeno Principe / A ssociacao Hospitalar de Protecao a Infancia;Curitiba
NCT02592434;Pfizer;Instituto de Pesquisa Pele Pequeno Principe;Curitiba
NCT02592434;Pfizer;Instituto de Puericultura e Pediatria Martagao Gesteira;Rio de Janeiro
